,name,cat,food_cat,food_rank,service_rank,price_rank,review_num,ranking_pos,ad_cat,pri_rate,address
877,Starbucks Seoul Art Center,restaurant,Cafe,45,35,35,14,1704,Seocho-dong,4.0,"2395, Nambusunhwan-ro, Seocho-gu, Seoul 06711 South Korea"
878,Burger King - Sinchon,restaurant,Fast Food,40,35,35,18,1705,Seodaemun,4.0,"101, Sinchon-ro, Seodaemun-gu, Seoul 03779 South Korea"
879,9 Timo,restaurant,Italian,45,40,40,18,1716,Itaewon,4.0,"112-6 Itaewon-Dong, Yongsan-Gu, Seoul South Korea"
880,Masinneun Sundubu & Gimchijjim,restaurant,Asian,40,40,45,14,1717,Jung-gu,4.0,"13, Eulji-ro 43-gil, Jung-gu, Seoul 04564 South Korea"
881,Hongik Charcoal Fire Ribs,restaurant,Asian,40,40,45,14,1727,Hongdae,4.0,"146-1, Eoulmadang-Ro, Seoul 04053 South Korea"
882,Thai Garden,restaurant,Asian,40,40,40,26,1728,Hannam-dong,4.0,"223, Itaewon-ro, Yongsan-gu, Seoul 04349 South Korea"
883,Jogyesa Kitchen Seungso,restaurant,Asian,45,40,50,8,1743,Jongno-gu,5.0,"45-20, Ujeongguk-ro, Jongno-gu, Seoul South Korea"
884,Ashley New Core Outlet Gangnam,restaurant,Asian,40,40,40,14,1749,Banpo-dong,4.0,"69, Jamwon-ro, Seocho-gu 1F Kims Parking Tower, Seoul 06511 South Korea"
885,Marche COEX Store,restaurant,International,40,35,35,23,1762,Samseongdong / COEX,4.0,"1F Coex Mall 159 Samsung-dong, Gangnam-gu, Seoul South Korea"
886,P.F. Chang's COEX Mall,restaurant,Asian,35,40,30,27,1766,Samseongdong / COEX,4.0,"524, Bongeunsa-ro, Gangnam-gu B1 P107, COEX Mall, Seoul 06164 South Korea"
887,Geumsu Bokkuk Daechi,restaurant,Asian,45,40,35,17,1770,Gangnam-gu,4.0,"338, Samseong-ro, Gangnam-gu, Seoul 06186 South Korea"
888,Starbucks,restaurant,Cafe,40,40,35,19,1781,Gongdeok-dong,3.5,"212, Baekbeom-ro, Mapo-gu 2F, Daewoo Worldmark Gongdeok E-Mart, Seoul 04196 South Korea"
889,Bouquet Wine Bar,restaurant,Steakhouse,45,45,45,10,1791,Hongdae,5.0,"28-12, Wausan-ro 21-gil, Mapo-gu, Seoul 04040 South Korea"
890,Ggongshi Myeon Gwan,restaurant,Asian,40,30,40,19,1795,Myeongdong / Namdaemun,4.0,"22-13, Chungmuro1-ga, Seoul South Korea"
891,Sultan Kebab,restaurant,European,40,40,40,22,1799,Itaewon,4.0,"126, Bogwang-Ro, Yongsan-Gu, Seoul 04406 South Korea"
892,Rakuchina,restaurant,Italian,30,30,25,17,1804,Itaewon,4.0,"10, Hoenamu-ro44-Gil, Seoul South Korea"
893,Seven Springs Gwanghwamun,restaurant,Steakhouse,30,40,25,17,1806,Jongno-gu,4.0,"68, Shinmunro , Jongno-gu B2F, Hongguk Life Insurance Bldg., Seoul South Korea"
894,Burger King,restaurant,Fast Food,40,30,35,18,1819,Jongno 1.2.3.4 ga-dong,4.0,"94, Jongno, Jongno-gu, Seoul South Korea"
895,Bongsanjip,restaurant,Asian,50,40,35,13,1826,Yongsan / Samgakji / Ichon,4.0,"1-21, Yongsandong3-ga, Yongsan-gu, Seoul South Korea"
896,Coffee Mongtaju,restaurant,Cafe,50,45,40,8,1833,Seongnae-dong,4.5,"23-12, Olympic-ro48-Gil, Seoul South Korea"
897,Yujeong Sikdang,restaurant,Asian,45,35,40,7,1844,Jung-gu,4.5,"28-5, Majang-ro 1-gil, Jung-gu, Seoul 04568 South Korea"
898,Hanilkwan,restaurant,Asian,40,35,35,17,1847,Gangnam-gu,4.0,"14, Apgujeong-ro 38-gil, Gangnam-gu, Seoul 06023 South Korea"
899,MADE Restaurant,restaurant,Italian,45,45,40,10,1850,Sinsa / Garosugil,4.5,"17, Nonhyeon-ro 175-gil, Gangnam-gu, Seoul 06030 South Korea"
900,Boriwool,restaurant,Asian,45,40,40,13,1860,Hongdae,4.0,"413-16, Hapjeong-dong, Mapo-gu, Seoul South Korea"
901,Jin Shabushabu,restaurant,Japanese,45,45,40,13,1863,Myeongdong / Namdaemun,4.0,"Chungmuro 2-ga, Jung-gu, Seoul South Korea"
902,Eco Babsang,restaurant,Asian,50,45,45,11,1872,Jongno-gu,4.5,"2F WHO Bldg. 94 Jeokseon-dong, Jongno-gu, Seoul South Korea"
903,Cheonggukjanggwa Boribap Cheongdam,restaurant,Asian,45,35,45,13,1885,Samseongdong / COEX,4.0,"521, Hakdong-ro, Gangnam-gu 1F, Wellis Bldg., Seoul 06072 South Korea"
904,Cipolla Rosso Samsung,restaurant,Italian,45,45,45,14,1908,Gangnam-gu,4.0,"5, Yeongdong-daero 114-gil, Gangnam-bu B2, Evezary Codisen Bldg., Seoul South Korea"
905,Dongwon Jip,restaurant,Asian,45,35,40,8,1914,Jung-gu,4.5,"96-2 Euljiro 3-ga, Jung-gu, Seoul 04543 South Korea"
906,55 Beonji Ramen,restaurant,Asian,45,45,45,16,1926,Jongno-gu,4.0,"55-1, Hwa-dong, Jongno-gu, Seoul South Korea"
